iter	Passed	Remaining
0	41	71717
1	81	71579
2	124	72467
3	167	73093
4	222	77669
5	277	80676
6	322	80261
7	364	79430
8	410	79467
9	457	79679
10	506	80020
11	551	79889
12	598	79926
13	658	81645
14	692	80054
15	724	78559
16	761	77587
17	796	76672
18	830	75629
19	868	75148
20	901	74188
21	935	73480
22	967	72660
23	1000	71937
24	1049	72400
25	1082	71775
26	1115	71157
27	1147	70601
28	1180	70083
29	1215	69663
30	1252	69447
31	1285	69011
32	1318	68583
33	1349	68114
34	1381	67717
35	1424	67809
36	1458	67509
37	1492	67230
38	1525	66919
39	1559	66662
40	1591	66354
41	1626	66135
42	1665	66130
43	1698	65840
44	1735	65759
45	1769	65565
46	1802	65316
47	1836	65111
48	1874	65084
49	1907	64863
50	1940	64638
51	1972	64403
52	2003	64145
53	2044	64215
54	2077	64028
55	2110	63829
56	2143	63661
57	2174	63440
58	2217	63551
59	2250	63383
60	2282	63209
61	2314	63007
62	2346	62829
63	2386	62873
64	2418	62695
65	2451	62556
66	2484	62398
67	2516	62240
68	2550	62132
69	2583	61999
70	2615	61843
71	2665	62131
72	2699	62008
73	2738	62026
74	2771	61904
75	2804	61781
76	2841	61738
77	2874	61607
78	2907	61489
79	2939	61369
80	2970	61208
81	3003	61086
82	3052	61304
83	3082	61140
84	3115	61035
85	3149	60937
86	3180	60803
87	3220	60818
88	3253	60720
89	3287	60628
90	3319	60521
91	3361	60575
92	3410	60765
93	3442	60645
94	3474	60534
95	3507	60433
96	3541	60349
97	3574	60261
98	3627	60500
99	3659	60383
100	3693	60310
101	3726	60208
102	3760	60133
103	3809	60291
104	3841	60178
105	3872	60065
106	3904	59956
107	3936	59850
108	3968	59743
109	4005	59719
110	4039	59642
111	4072	59563
112	4105	59478
113	4139	59398
114	4180	59428
115	4213	59348
116	4245	59252
117	4276	59140
118	4306	59030
119	4350	59097
120	4382	58999
121	4416	58939
122	4446	58820
123	4479	58735
124	4511	58645
125	4543	58564
126	4583	58572
127	4621	58568
128	4654	58492
129	4690	58450
130	4724	58389
131	4761	58360
132	4791	58259
133	4824	58176
134	4856	58102
135	4888	58012
136	4921	57938
137	4970	58063
138	5002	57976
139	5036	57918
140	5069	57845
141	5101	57769
142	5133	57683
143	5165	57605
144	5201	57572
145	5233	57498
146	5266	57431
147	5298	57352
148	5330	57281
149	5361	57193
150	5406	57254
151	5439	57185
152	5472	57121
153	5505	57052
154	5537	56984
155	5576	56980
156	5610	56926
157	5642	56855
158	5680	56839
159	5719	56838
160	5753	56785
161	5791	56766
162	5822	56685
163	5854	56614
164	5886	56548
165	5918	56479
166	5949	56398
167	5989	56404
168	6023	56351
169	6056	56287
170	6088	56219
171	6121	56158
172	6154	56101
173	6205	56203
174	6236	56128
175	6267	56047
176	6297	55968
177	6329	55901
178	6368	55891
179	6406	55874
180	6437	55805
181	6468	55731
182	6500	55665
183	6532	55597
184	6581	55676
185	6613	55613
186	6645	55542
187	6680	55505
188	6714	55452
189	6748	55406
190	6782	55361
191	6817	55319
192	6870	55427
193	6902	55361
194	6933	55289
195	6966	55235
196	6997	55166
197	7030	55105
198	7073	55131
199	7106	55071
200	7137	55006
201	7168	54938
202	7199	54861
203	7230	54797
204	7277	54845
205	7307	54773
206	7339	54707
207	7372	54655
208	7404	54596
209	7436	54532
210	7468	54475
211	7512	54503
212	7548	54471
213	7580	54412
214	7613	54354
215	7649	54325
216	7692	54346
217	7730	54325
218	7761	54259
219	7792	54194
220	7824	54132
221	7856	54074
222	7887	54012
223	7931	54033
224	7963	53974
225	7996	53921
226	8027	53861
227	8064	53837
228	8101	53812
229	8134	53755
230	8166	53698
231	8199	53647
232	8231	53591
233	8264	53541
234	8302	53522
235	8333	53459
236	8364	53397
237	8395	53336
238	8427	53281
239	8458	53217
240	8491	53168
241	8533	53172
242	8566	53123
243	8599	53075
244	8635	53043
245	8668	52999
246	8702	52953
247	8733	52893
248	8779	52923
249	8810	52862
250	8842	52809
251	8873	52749
252	8903	52684
253	8946	52693
254	9000	52767
255	9033	52720
256	9065	52665
257	9096	52606
258	9136	52597
259	9169	52545
260	9201	52493
261	9234	52446
262	9267	52396
263	9303	52366
264	9335	52315
265	9367	52261
266	9399	52208
267	9431	52155
268	9477	52180
269	9525	52212
270	9557	52159
271	9588	52104
272	9626	52080
273	9660	52040
274	9708	52071
275	9739	52016
276	9771	51961
277	9805	51918
278	9837	51865
279	9873	51835
280	9906	51788
281	9938	51738
282	9970	51683
283	10003	51636
284	10048	51653
285	10078	51590
286	10109	51532
287	10140	51475
288	10171	51421
289	10211	51411
290	10249	51387
291	10280	51331
292	10311	51276
293	10343	51223
294	10375	51175
295	10407	51121
296	10447	51110
297	10479	51063
298	10513	51020
299	10547	50981
300	10578	50926
301	10615	50896
302	10664	50930
303	10695	50874
304	10727	50822
305	10756	50759
306	10789	50711
307	10826	50687
308	10861	50651
309	10897	50622
310	10932	50586
311	10963	50529
312	10995	50480
313	11036	50474
314	11067	50419
315	11100	50374
316	11132	50325
317	11164	50276
318	11196	50225
319	11232	50196
320	11264	50144
321	11294	50089
322	11326	50038
323	11358	49992
324	11390	49944
325	11428	49920
326	11460	49873
327	11494	49833
328	11528	49791
329	11559	49739
330	11595	49709
331	11640	49719
332	11687	49734
333	11720	49687
334	11752	49639
335	11782	49586
336	11815	49539
337	11848	49496
338	11879	49446
339	11917	49420
340	11947	49368
341	11981	49327
342	12013	49278
343	12044	49228
344	12098	49271
345	12130	49222
346	12162	49174
347	12194	49126
348	12232	49104
349	12264	49056
350	12294	49002
351	12328	48963
352	12359	48913
