Applicant_ID,default_status
Apcnt_1000032,0.60547346
Apcnt_1000048,0.43037623
Apcnt_1000052,0.31222346
Apcnt_1000076,0.7987329
Apcnt_1000080,0.16752347
Apcnt_1000084,0.32913676
Apcnt_1000104,0.39701343
Apcnt_1000116,0.6142917
Apcnt_1000128,0.35536596
Apcnt_1000156,0.363811
Apcnt_1000192,0.1217221
Apcnt_1000208,0.044377662
Apcnt_1000264,0.5269283
Apcnt_1000288,0.04559997
Apcnt_1000292,0.3667311
Apcnt_1000328,0.71759456
Apcnt_1000336,0.29128695
Apcnt_1000356,0.056750435
Apcnt_1000368,0.14470513
Apcnt_1000372,0.77439606
Apcnt_1000392,0.1610327
Apcnt_1000396,0.07203422
Apcnt_1000400,0.10393631
Apcnt_1000416,0.30995926
Apcnt_1000428,0.014925127
Apcnt_1000440,0.040278602
Apcnt_1000456,0.47989133
Apcnt_1000472,0.0819856
Apcnt_1000488,0.15394449
Apcnt_1000492,0.07234531
Apcnt_1000504,0.67161417
Apcnt_1000516,0.2976562
Apcnt_1000532,0.054850865
Apcnt_1000552,0.23998219
Apcnt_1000564,0.47127092
Apcnt_1000576,0.61203474
Apcnt_1000596,0.10921999
Apcnt_1000620,0.12631352
Apcnt_1000624,0.026835332
Apcnt_1000636,0.004196846
Apcnt_1000648,0.023715165
Apcnt_1000668,0.05381574
Apcnt_1000680,0.12879945
Apcnt_1000696,0.06285038
Apcnt_1000704,0.5543895
Apcnt_1000724,0.042901322
Apcnt_1000740,0.2657354
Apcnt_1000744,0.009988185
Apcnt_1000756,0.03468248
Apcnt_1000768,0.0048521515
Apcnt_1000784,0.0019736981
Apcnt_1000796,0.0040491214
Apcnt_1000808,0.004011577
Apcnt_1000816,0.013609968
Apcnt_1000820,0.0030349626
Apcnt_1000824,0.099185005
Apcnt_1000856,0.56191593
Apcnt_1000872,0.5888184
Apcnt_1000880,0.079476826
Apcnt_1000904,0.23691171
Apcnt_1000912,0.5824168
Apcnt_1000920,0.7258542
Apcnt_1000952,0.06065006
Apcnt_1000960,0.15774605
Apcnt_1000964,0.16939409
Apcnt_1000968,0.0058467253
Apcnt_1000976,0.6626925
Apcnt_1000984,0.6312026
Apcnt_1000992,0.22673199
Apcnt_1000996,0.50007045
Apcnt_1001000,0.2507528
Apcnt_1001008,0.076198995
Apcnt_1001028,0.02701593
Apcnt_1001032,0.5948721
Apcnt_1001036,0.7574313
Apcnt_1001040,0.61356527
Apcnt_1001048,0.6256306
Apcnt_1001052,0.028746365
Apcnt_1001068,0.8237364
Apcnt_1001076,0.13880348
Apcnt_1001080,0.1483312
Apcnt_1001092,0.10452395
Apcnt_1001120,0.6805142
Apcnt_1001144,0.542393
Apcnt_1001148,0.1428945
Apcnt_1001168,0.15145376
Apcnt_1001176,0.8031791
Apcnt_1001200,0.17582035
Apcnt_1001224,0.35688746
Apcnt_1001228,0.49725273
Apcnt_1001236,0.07411287
Apcnt_1001244,0.28536367
Apcnt_1001248,0.012777707
Apcnt_1001256,0.27127802
Apcnt_1001260,0.23958755
Apcnt_1001264,0.010555304
Apcnt_1001288,0.04806878
Apcnt_1001292,0.03926464
Apcnt_1001296,0.07058933
Apcnt_1001304,0.32207534
Apcnt_1001308,0.15312606
Apcnt_1001316,0.20050098
Apcnt_1001320,0.36515284
Apcnt_1001352,0.36406446
Apcnt_1001360,0.35661963
Apcnt_1001376,0.7558245
Apcnt_1001384,0.0919626
Apcnt_1001388,0.5093602
Apcnt_1001400,0.75235826
Apcnt_1001416,0.57077235
Apcnt_1001436,0.73118246
Apcnt_1001452,0.37799788
Apcnt_1001456,0.032514308
Apcnt_1001468,0.64984125
Apcnt_1001480,0.19998245
Apcnt_1001488,0.43396822
Apcnt_1001508,0.60255784
Apcnt_1001512,0.05227922
Apcnt_1001516,0.49065942
Apcnt_1001528,0.348541
Apcnt_1001532,0.1852774
Apcnt_1001548,0.0040690303
Apcnt_1001552,0.010015324
Apcnt_1001572,0.22087896
Apcnt_1001580,0.012054819
Apcnt_1001584,0.06625922
Apcnt_1001624,0.10268915
Apcnt_1001632,0.055424023
Apcnt_1001668,0.07395743
Apcnt_1001692,0.043112196
Apcnt_1001700,0.015345781
Apcnt_1001708,0.07690195
Apcnt_1001716,0.08695629
Apcnt_1001732,0.038436487
Apcnt_1001752,0.42475125
Apcnt_1001760,0.03679173
Apcnt_1001764,0.042689458
Apcnt_1001776,0.38437366
Apcnt_1001780,0.36600167
Apcnt_1001788,0.7093373
Apcnt_1001792,0.053713284
Apcnt_1001800,0.13998327
Apcnt_1001820,0.29066527
Apcnt_1001828,0.6733171
Apcnt_1001836,0.039221708
Apcnt_1001844,0.4877152
Apcnt_1001848,0.21919522
Apcnt_1001860,0.4513826
Apcnt_1001880,0.15920335
Apcnt_1001888,0.49275234
Apcnt_1001900,0.2837096
Apcnt_1001908,0.5792939
Apcnt_1001936,0.46191818
Apcnt_1001940,0.18324095
Apcnt_1001960,0.30832365
Apcnt_1001988,0.5806579
Apcnt_1002000,0.1028795
Apcnt_1002020,0.23114456
Apcnt_1002024,0.5318578
Apcnt_1002028,0.35190368
Apcnt_1002032,0.30136958
Apcnt_1002044,0.17528023
Apcnt_1002052,0.18893097
Apcnt_1002056,0.014386311
Apcnt_1002080,0.010739635
Apcnt_1002084,0.13485059
Apcnt_1002096,0.11053239
Apcnt_1002112,0.0033206425
Apcnt_1002124,0.12318489
Apcnt_1002140,0.024663657
Apcnt_1002152,0.1908598
Apcnt_1002156,0.040614057
Apcnt_1002168,0.20211643
Apcnt_1002176,0.61381114
Apcnt_1002200,0.015742924
Apcnt_1002228,0.4734229
Apcnt_1002252,0.43168873
Apcnt_1002268,0.59546506
Apcnt_1002272,0.41539788
Apcnt_1002276,0.8930724
Apcnt_1002288,0.08633335
Apcnt_1002304,0.7918915
Apcnt_1002312,0.40021673
Apcnt_1002320,0.33897266
Apcnt_1002324,0.15254742
Apcnt_1002336,0.31231344
Apcnt_1002368,0.3699589
Apcnt_1002384,0.048186623
Apcnt_1002388,0.27945238
Apcnt_1002400,0.122972116
Apcnt_1002404,0.30072522
Apcnt_1002412,0.5161582
Apcnt_1002420,0.017298497
Apcnt_1002424,0.08105613
Apcnt_1002432,0.088765666
Apcnt_1002444,0.21367148
Apcnt_1002456,0.0065674963
Apcnt_1002468,0.0065918732
Apcnt_1002472,0.012128383
Apcnt_1002484,0.046168577
Apcnt_1002536,0.3018363
Apcnt_1002568,0.29459068
Apcnt_1002576,0.29639664
Apcnt_1002580,0.016635006
Apcnt_1002604,0.3343294
Apcnt_1002612,0.53226733
Apcnt_1002616,0.5093786
Apcnt_1002624,0.04674565
Apcnt_1002632,0.1153764
Apcnt_1002636,0.6023203
Apcnt_1002644,0.3756273
Apcnt_1002656,0.23289938
Apcnt_1002672,0.6716839
Apcnt_1002680,0.12726884
Apcnt_1002700,0.45676342
Apcnt_1002736,0.7303968
Apcnt_1002756,0.07777959
Apcnt_1002760,0.4963833
Apcnt_1002768,0.6079514
Apcnt_1002780,0.7150169
Apcnt_1002784,0.0026946818
Apcnt_1002788,0.007097453
Apcnt_1002796,0.088629976
Apcnt_1002800,0.28479642
Apcnt_1002808,0.51421833
Apcnt_1002812,0.067222305
Apcnt_1002832,0.5859798
Apcnt_1002848,0.53203595
Apcnt_1002852,0.009209496
Apcnt_1002860,0.62139606
Apcnt_1002868,0.045986142
Apcnt_1002872,0.82778686
Apcnt_1002888,0.7359407
Apcnt_1002892,0.030839331
Apcnt_1002896,0.3676933
Apcnt_1002912,0.635259
Apcnt_1002932,0.19489221
Apcnt_1002936,0.29674497
Apcnt_1002980,0.03931983
Apcnt_1002992,0.38255998
Apcnt_1003000,0.12126156
Apcnt_1003028,0.48448837
Apcnt_1003036,0.016668322
Apcnt_1003040,0.054882836
Apcnt_1003048,0.8970037
Apcnt_1003076,0.6948182
Apcnt_1003080,0.7097803
Apcnt_1003100,0.19632126
Apcnt_1003148,0.36803567
Apcnt_1003152,0.004532679
Apcnt_1003180,0.436678
Apcnt_1003200,0.5100364
Apcnt_1003208,0.699104
Apcnt_1003216,0.49949494
Apcnt_1003224,0.110357925
Apcnt_1003228,0.21560302
Apcnt_1003232,0.29791677
Apcnt_1003236,0.14949274
Apcnt_1003276,0.27826568
Apcnt_1003280,0.27673537
Apcnt_1003308,0.32965314
Apcnt_1003312,0.5758721
Apcnt_1003324,0.17775217
Apcnt_1003340,0.12499872
Apcnt_1003356,0.09426016
Apcnt_1003384,0.002895039
Apcnt_1003400,0.0042712893
Apcnt_1003412,0.45859846
Apcnt_1003424,0.36824694
Apcnt_1003428,0.019843485
Apcnt_1003452,0.12661462
Apcnt_1003456,0.018200524
Apcnt_1003460,0.23155257
Apcnt_1003484,0.01611471
